text,favorited,favoriteCount,truncated,retweetCount,isRetweet,retweeted,longitude,latitude
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Finland proposes child benefits be tied to vaccine requirements  https://t.co/mNrBDoq7jF via @HealthWatch12â€_,FALSE,0,FALSE,31,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
#AntiVax movement believes a lot of nonsense; this is the first time Iâ€™ve heard doctors worldwide banded together to killâ€_,FALSE,0,FALSE,12,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
#AntiVax physician finds new life defending child abusers.  Whatâ€™s disturbing is that he isnâ€™t the only one.  Inhumâ€_ https://t.co/HNIsvCy0Of,FALSE,0,TRUE,0,FALSE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
RFK Jr. wins case against U.S. government for vaccine safety violations. https://t.co/gZbIs5xqpu #vaccines #antivax #healâ€_,FALSE,0,FALSE,191,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
"Can't really overdo this infographic, IMHO. #antivax #antivaxxers #publichealth https://t.co/pgOyu7LhUW",FALSE,0,FALSE,1,TRUE,FALSE,NA,NA
"Research shows that the vast majority of Pediatricians continue to see families that don't vaccinate their children, despâ€_",FALSE,0,FALSE,2,TRUE,FALSE,NA,NA
"Can't really overdo this infographic, IMHO. #antivax #antivaxxers #publichealth https://t.co/pgOyu7LhUW",FALSE,7,FALSE,1,FALSE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
So true #antivax https://t.co/Uoq04SguK6,FALSE,0,FALSE,0,FALSE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Finland proposes child benefits be tied to vaccine requirements  https://t.co/mNrBDoq7jF via @HealthWatch12â€_,FALSE,0,FALSE,31,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
#AntiVax movement believes a lot of nonsense; this is the first time Iâ€™ve heard doctors worldwide banded together to killâ€_,FALSE,0,FALSE,12,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
#AntiVax movement believes a lot of nonsense; this is the first time Iâ€™ve heard doctors worldwide banded together to killâ€_,FALSE,0,FALSE,12,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
ICYMI - Roundup: US #LifeExpectancy drops for 3rd year; number of uninsured kids on rise again; steep drops in insâ€_,FALSE,0,FALSE,2,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
"Research shows that the vast majority of Pediatricians continue to see families that don't vaccinate their children, despâ€_",FALSE,0,FALSE,2,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Finland proposes child benefits be tied to vaccine requirements  https://t.co/mNrBDoq7jF via @HealthWatch12â€_,FALSE,0,FALSE,31,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Finland proposes child benefits be tied to vaccine requirements  https://t.co/mNrBDoq7jF via @HealthWatch12â€_,FALSE,0,FALSE,31,TRUE,FALSE,NA,NA
#AntiVax movement believes a lot of nonsense; this is the first time Iâ€™ve heard doctors worldwide banded together to killâ€_,FALSE,0,FALSE,12,TRUE,FALSE,NA,NA
Finland proposes child benefits be tied to vaccine requirements  https://t.co/mNrBDoq7jF via @HealthWatch12â€_,FALSE,0,FALSE,31,TRUE,FALSE,NA,NA
Finland proposes child benefits be tied to vaccine requirements  https://t.co/mNrBDoq7jF via @HealthWatch12â€_,FALSE,0,FALSE,31,TRUE,FALSE,NA,NA
Finland proposes child benefits be tied to vaccine requirements  https://t.co/mNrBDoq7jF via @HealthWatch12â€_,FALSE,0,FALSE,31,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Finland proposes child benefits be tied to vaccine requirements  https://t.co/mNrBDoq7jF via @HealthWatch12â€_,FALSE,0,FALSE,31,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.câ€_,FALSE,0,FALSE,3,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
"#AntiVax positions have no legs to stand on. Because thereâ€™s no evidence to support them, they rely on emotion. They demaâ€_",FALSE,0,FALSE,12,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
"#AntiVax frequently respond to evidence-based vaccine social media posts by taking personal offense. Somehow, they feel pâ€_",FALSE,0,FALSE,8,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Research shows that the vast majority of Pediatricians continue to see families that don't vaccinate their childrenâ€_ https://t.co/abwuNWtnY5,FALSE,11,TRUE,2,FALSE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.câ€_,FALSE,0,FALSE,3,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
Still think the #flu shot is safe? Ask the family of this father who is now on life support because of it. https://t.co/Râ€_,FALSE,0,FALSE,249,TRUE,FALSE,NA,NA
